,min_spectro_db,max_spectro_db,filename
94,-36.522606,43.477394,JA - Fumie Hihara - Koto.mp3
95,-36.836582,43.163418,JA - Fumie Hihara - Koto.mp3
96,-34.709846,45.290154,JA - Fumie Hihara - Koto.mp3
97,-34.7874,45.2126,JA - Fumie Hihara - Koto.mp3
98,-35.151703,44.848297,JA - Fumie Hihara - Koto.mp3
99,-35.618458,44.381542,JA - Fumie Hihara - Koto.mp3
100,-34.796635,45.203365,JA - Fumie Hihara - Koto.mp3
101,-36.167103,43.832897,JA - Fumie Hihara - Koto.mp3
102,-35.201447,44.798553,JA - Fumie Hihara - Koto.mp3
103,-36.239964,43.760036,JA - Fumie Hihara - Koto.mp3
104,-35.875362,44.124638,JA - Fumie Hihara - Koto.mp3
105,-33.35895,46.64105,JA - Fumie Hihara - Koto.mp3
106,-34.094032,45.905968,JA - Fumie Hihara - Koto.mp3
107,-35.010742,44.989258,JA - Fumie Hihara - Koto.mp3
108,-36.525192,43.474808,JA - Fumie Hihara - Koto.mp3
109,-35.29328,44.70672,JA - Fumie Hihara - Koto.mp3
110,-35.801853,44.198147,JA - Fumie Hihara - Koto.mp3
111,-38.050827,41.949173,JA - Fumie Hihara - Koto.mp3
112,-37.906883,42.093117,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
113,-39.27478,40.72522,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
114,-48.74962,31.250383,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
115,-39.373665,40.626335,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
116,-39.43907,40.56093,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
117,-37.982754,42.017246,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
118,-45.801456,34.198544,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
119,-38.809418,41.190582,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
120,-41.254967,38.745033,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
121,-39.597527,40.402473,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
122,-38.41064,41.58936,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Chidori.mp3
